Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,18.316,21.282,23.946,24.313,24.689,25.074,25.468,25.871,26.282,26.703,27.132,27.57
Urban population (% of total),SP.URB.TOTL.IN.ZS,Albania,ALB,36.428,41.741,49.991,51.076,52.163,53.247,54.33,55.383,56.409,57.407,58.376,59.316
Urban population (% of total),SP.URB.TOTL.IN.ZS,Algeria,DZA,52.085,59.919,66.097,66.822,67.526,68.209,68.87,69.51,70.129,70.727,71.304,71.861
Urban population (% of total),SP.URB.TOTL.IN.ZS,American Samoa,ASM,80.948,88.587,87.799,87.697,87.594,87.5,87.413,87.334,87.264,87.202,87.148,87.103
Urban population (% of total),SP.URB.TOTL.IN.ZS,Andorra,AND,94.712,92.395,88.867,88.352,87.817,87.26,86.708,86.165,85.633,85.115,84.612,84.127
Urban population (% of total),SP.URB.TOTL.IN.ZS,Angola,AGO,25.582,32.419,38.509,39.299,40.097,40.9,41.699,42.49,43.274,44.05,44.819,45.578
Urban population (% of total),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,35.426,32.127,27.406,26.819,26.239,25.667,25.135,24.643,24.19,23.773,23.393,23.047
Urban population (% of total),SP.URB.TOTL.IN.ZS,Argentina,ARG,86.984,89.142,90.622,90.795,90.966,91.133,91.295,91.452,91.604,91.751,91.893,92.03
Urban population (% of total),SP.URB.TOTL.IN.ZS,Armenia,ARM,67.421,64.666,63.997,63.789,63.58,63.371,63.161,62.975,62.812,62.673,62.558,62.467
Urban population (% of total),SP.URB.TOTL.IN.ZS,Aruba,ABW,50.319,46.717,43.783,43.421,43.059,42.698,42.364,42.058,41.779,41.528,41.304,41.107
Urban population (% of total),SP.URB.TOTL.IN.ZS,Australia,AUS,85.4,87.165,88.445,88.59,88.733,88.875,89.015,89.153,89.289,89.423,89.554,89.683
Urban population (% of total),SP.URB.TOTL.IN.ZS,Austria,AUT,65.765,65.8,65.841,65.847,65.852,65.858,65.864,65.884,65.919,65.968,66.032,66.11
Urban population (% of total),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,53.749,51.386,52.99,53.19,53.401,53.623,53.856,54.1,54.355,54.62,54.895,55.181
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,79.838,82.009,82.442,82.495,82.549,82.606,82.667,82.732,82.801,82.874,82.951,83.031
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bahrain,BHR,88.14,88.372,88.468,88.5,88.535,88.575,88.619,88.667,88.719,88.775,88.835,88.899
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,19.811,23.59,28.968,29.709,30.462,31.225,31.99,32.753,33.516,34.277,35.035,35.79
Urban population (% of total),SP.URB.TOTL.IN.ZS,Barbados,BRB,32.65,33.83,32.41,32.235,32.06,31.905,31.769,31.652,31.554,31.475,31.415,31.374
Urban population (% of total),SP.URB.TOTL.IN.ZS,Belarus,BLR,65.981,69.973,73.726,74.172,74.615,75.046,75.467,75.877,76.277,76.667,77.046,77.416
Urban population (% of total),SP.URB.TOTL.IN.ZS,Belgium,BEL,96.377,97.128,97.546,97.594,97.641,97.687,97.732,97.776,97.818,97.858,97.897,97.934
Urban population (% of total),SP.URB.TOTL.IN.ZS,Belize,BLZ,47.465,47.663,45.501,45.232,44.963,44.718,44.496,44.298,44.124,43.973,43.845,43.742
Urban population (% of total),SP.URB.TOTL.IN.ZS,Benin,BEN,34.485,38.333,41.078,41.461,41.854,42.256,42.667,43.086,43.514,43.95,44.395,44.847
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bhutan,BTN,16.388,25.418,33.236,34.01,34.793,35.585,36.368,37.139,37.898,38.644,39.377,40.095
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bolivia,BOL,55.577,61.834,65.55,65.991,66.426,66.855,67.279,67.696,68.107,68.512,68.911,69.303
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,39.249,39.306,39.161,39.183,39.226,39.291,39.378,39.486,39.616,39.767,39.94,40.135
Urban population (% of total),SP.URB.TOTL.IN.ZS,Botswana,BWA,41.933,53.219,55.772,56.004,56.235,56.467,56.699,56.938,57.187,57.444,57.71,57.984
Urban population (% of total),SP.URB.TOTL.IN.ZS,Brazil,BRA,73.922,81.192,83.749,84.044,84.335,84.623,84.901,85.171,85.433,85.687,85.933,86.172
Urban population (% of total),SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,37.814,41.774,44.048,44.345,44.645,44.948,45.253,45.562,45.872,46.186,46.502,46.82
Urban population (% of total),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,65.833,71.164,74.746,75.134,75.51,75.872,76.223,76.561,76.887,77.202,77.505,77.797
Urban population (% of total),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,66.377,68.899,71.622,71.963,72.302,72.638,72.971,73.3,73.626,73.948,74.266,74.581
Urban population (% of total),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,13.815,17.844,23.993,24.828,25.665,26.505,27.346,28.186,29.024,29.859,30.688,31.511
Urban population (% of total),SP.URB.TOTL.IN.ZS,Burundi,BDI,6.271,8.246,10.118,10.376,10.641,10.912,11.189,11.472,11.761,12.057,12.359,12.667
